Malic acid,Flavanoids,Total phenols,Ash,Nonflavanoid phenols,Hue,Proline ,class
3.84,2.68,2.45,2.12,0.27,0.91,1035,1
1.89,3.56,3.25,2.59,0.17,0.88,1095,1
3.98,2.63,2.64,2.29,0.32,0.82,680,1
1.77,3.0,3.0,2.1,0.28,0.88,885,1
4.04,2.65,2.85,2.44,0.3,0.87,1080,1
3.59,3.17,3.25,2.28,0.27,1.04,1065,1
1.68,3.39,3.1,2.12,0.21,0.91,985,1
2.02,2.92,2.75,2.4,0.32,1.07,1060,1
1.73,3.54,2.88,2.27,0.32,1.12,1260,1
1.73,3.27,2.72,2.04,0.17,1.12,1150,1
1.65,2.99,2.45,2.6,0.22,1.24,1265,1
1.75,3.74,3.88,2.42,0.32,1.01,1190,1
1.9,2.79,3.0,2.68,0.39,1.13,1375,1
1.67,2.9,2.6,2.25,0.21,0.92,1060,1
1.73,2.78,2.96,2.46,0.2,0.98,1120,1
1.7,3.0,3.2,2.3,0.26,0.94,970,1
1.97,3.23,3.0,2.68,0.31,1.07,1270,1
1.43,3.67,3.4,2.5,0.19,0.89,1285,1
0.94,0.57,1.98,1.36,0.28,1.05,520,2
1.1,1.09,2.05,2.28,0.63,1.25,680,2
1.36,1.41,2.02,2.02,0.53,0.98,450,2
1.25,1.79,2.1,1.92,0.32,1.23,630,2
1.13,3.1,3.5,2.16,0.19,1.22,420,2
1.45,1.75,1.89,2.53,0.45,1.45,355,2
1.21,2.65,2.42,2.56,0.37,1.19,678,2
1.01,3.18,2.98,1.7,0.26,1.12,502,2
1.17,2.0,2.11,1.92,0.27,1.12,510,2
0.94,1.3,2.53,2.36,0.55,1.02,750,2
1.19,1.28,1.85,1.75,0.14,1.28,718,2
1.61,1.02,1.1,2.21,0.37,0.906,870,2
1.51,2.86,2.95,2.67,0.21,1.36,410,2
1.66,1.84,1.88,2.24,0.27,0.98,472,2
1.67,2.89,3.3,2.6,0.21,1.31,985,2
1.09,2.14,3.38,2.3,0.13,0.99,886,2
1.88,1.57,1.61,1.92,0.34,1.23,428,2
0.9,2.03,1.95,1.71,0.24,1.19,392,2
2.89,1.32,1.72,2.23,0.43,0.96,500,2
0.99,1.85,1.9,1.95,0.35,1.06,750,2
3.87,2.55,2.83,2.4,0.43,1.19,463,2
0.92,2.26,2.42,2.0,0.3,1.38,278,2
1.81,2.53,2.2,2.2,0.26,1.16,714,2
1.13,1.58,2.0,2.51,0.4,1.31,630,2
3.86,1.59,1.65,2.32,0.61,0.84,515,2
0.89,2.21,2.2,2.58,0.22,0.79,520,2
0.98,1.94,2.2,2.24,0.3,1.23,450,2
1.61,1.69,1.78,2.31,0.43,1.33,495,2
1.67,1.61,1.92,2.62,0.4,1.36,562,2
2.06,1.69,1.95,2.46,0.48,1.0,680,2
1.33,1.59,2.2,2.3,0.42,1.07,625,2
1.83,1.5,1.6,2.32,0.52,1.08,480,2
1.51,1.25,1.45,2.42,0.5,1.05,450,2
1.53,1.46,1.38,2.26,0.58,0.96,495,2
2.83,2.25,2.45,2.22,0.25,1.15,290,2
1.99,2.26,3.02,2.28,0.17,1.16,345,2
1.52,2.27,2.5,2.2,0.32,1.16,937,2
2.12,0.99,1.6,2.74,0.14,0.95,625,2
1.41,2.5,2.55,1.98,0.29,1.23,428,2
1.07,3.75,3.52,2.1,0.24,1.04,660,2
3.17,2.99,2.85,2.21,0.45,1.42,406,2
2.08,2.17,2.23,1.7,0.26,1.27,710,2
1.34,1.36,1.45,1.9,0.29,1.04,562,2
2.45,2.11,2.56,2.46,0.34,0.8,438,2
1.72,1.64,2.5,1.88,0.37,0.94,415,2
1.73,1.92,2.2,1.98,0.32,1.04,672,2
2.55,1.84,1.68,2.27,0.66,0.86,315,2
1.73,2.03,1.65,2.12,0.37,1.0,510,2
1.75,1.76,1.38,2.28,0.48,0.88,488,2
1.29,2.04,2.36,1.94,0.39,0.86,312,2
1.35,2.92,2.74,2.7,0.29,0.96,680,2
3.74,2.58,3.18,1.82,0.24,0.75,562,2
2.43,2.27,2.55,2.17,0.26,0.9,325,2
2.68,2.03,1.75,2.92,0.6,1.23,607,2
0.74,2.01,2.48,2.5,0.42,1.1,434,2
1.39,2.29,2.56,2.5,0.43,0.93,385,2
1.51,2.17,2.46,2.2,0.52,1.71,407,2
1.47,1.6,1.98,1.99,0.3,0.95,495,2
1.61,2.09,2.0,2.19,0.34,1.06,345,2
3.43,1.25,1.63,1.98,0.43,0.7,372,2
3.43,1.64,2.0,2.0,0.37,0.93,564,2
2.4,2.79,2.9,2.42,0.32,0.8,625,2
2.05,5.08,3.18,3.23,0.47,0.93,465,2
4.43,2.13,2.2,2.73,0.43,0.92,365,2
5.8,2.65,2.62,2.13,0.3,0.73,380,2
4.31,3.03,2.86,2.39,0.21,0.75,380,2
2.16,2.65,2.6,2.17,0.37,0.86,378,2
1.53,3.15,2.74,2.29,0.39,0.69,352,2
2.13,2.24,2.13,2.78,0.58,0.97,466,2
1.63,2.45,2.22,2.3,0.4,0.89,342,2
4.3,1.75,2.1,2.38,0.42,0.79,580,2
1.35,1.25,1.51,2.32,0.21,0.76,630,3
2.99,1.22,1.3,2.4,0.24,0.74,530,3
2.31,1.09,1.15,2.4,0.27,0.66,560,3
3.55,1.2,1.7,2.36,0.17,0.78,600,3
1.24,0.58,2.0,2.25,0.6,0.75,650,3
2.46,0.66,1.62,2.2,0.63,0.73,695,3
4.72,0.47,1.38,2.54,0.53,0.75,720,3
5.51,0.6,1.79,2.64,0.63,0.82,515,3
3.59,0.48,1.62,2.19,0.58,0.81,580,3
2.96,0.6,2.32,2.61,0.53,0.89,590,3
2.81,0.5,1.54,2.7,0.53,0.77,600,3
2.56,0.5,1.4,2.35,0.37,0.7,780,3
3.17,0.52,1.55,2.72,0.5,0.89,520,3
4.95,0.8,2.0,2.35,0.47,0.91,550,3
3.88,0.78,1.38,2.2,0.29,0.65,855,3
3.57,0.55,1.5,2.15,0.43,0.6,830,3
5.04,0.34,0.98,2.23,0.4,0.58,415,3
4.61,0.65,1.7,2.48,0.47,0.54,625,3
3.24,0.76,1.93,2.38,0.45,0.55,650,3
3.9,1.39,1.41,2.36,0.34,0.57,550,3
3.12,1.57,1.4,2.62,0.22,0.59,500,3
2.67,1.36,1.48,2.48,0.24,0.48,480,3
1.9,1.28,2.2,2.75,0.26,0.61,425,3
3.3,0.83,1.8,2.28,0.61,0.56,675,3
1.29,0.58,1.48,2.1,0.53,0.58,640,3
5.19,0.63,1.74,2.32,0.61,0.6,725,3
4.12,0.83,1.8,2.38,0.48,0.57,480,3
3.03,0.58,1.9,2.64,0.63,0.67,880,3
1.68,1.31,2.8,2.7,0.53,0.57,660,3
1.67,1.1,2.6,2.64,0.52,0.57,620,3
3.83,0.92,2.3,2.38,0.5,0.56,520,3
3.26,0.56,1.83,2.54,0.5,0.96,680,3
3.27,0.6,1.65,2.58,0.6,0.87,570,3
3.45,0.7,1.39,2.35,0.4,0.68,675,3
2.76,0.68,1.35,2.3,0.41,0.7,615,3
4.36,0.47,1.28,2.26,0.52,0.78,520,3
3.7,0.92,1.7,2.6,0.43,0.85,695,3
3.37,0.66,1.48,2.3,0.4,0.72,685,3
2.58,0.84,1.55,2.69,0.39,0.74,750,3
4.6,0.96,1.98,2.86,0.27,0.67,630,3
3.03,0.49,1.25,2.32,0.4,0.66,510,3
2.39,0.51,1.39,2.28,0.48,0.57,470,3
2.51,0.7,1.68,2.48,0.44,0.62,660,3
5.65,0.61,1.68,2.45,0.52,0.64,740,3
3.91,0.75,1.8,2.48,0.43,0.7,750,3
4.28,0.69,1.59,2.26,0.43,0.59,835,3
2.59,0.68,1.65,2.37,0.53,0.6,840,3
4.1,0.76,2.05,2.74,0.56,0.61,560,3
